Preferred MIME Name,Name,MIBenum,Source,Reference,Aliases,Note
US-ASCII,US-ASCII,3,ANSI X3.4-1986,[RFC2046],"iso-ir-6
ANSI_X3.4-1968
ANSI_X3.4-1986
ISO_646.irv:1991
ISO646-US
US-ASCII
us
IBM367
cp367
csASCII",
ISO-8859-1,ISO_8859-1:1987,4,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"iso-ir-100
ISO_8859-1
ISO-8859-1
latin1
l1
IBM819
CP819
csISOLatin1",
ISO-8859-2,ISO_8859-2:1987,5,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"iso-ir-101
ISO_8859-2
ISO-8859-2
latin2
l2
csISOLatin2",
ISO-8859-3,ISO_8859-3:1988,6,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"iso-ir-109
ISO_8859-3
ISO-8859-3
latin3
l3
csISOLatin3",
ISO-8859-4,ISO_8859-4:1988,7,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"iso-ir-110
ISO_8859-4
ISO-8859-4
latin4
l4
csISOLatin4",
ISO-8859-5,ISO_8859-5:1988,8,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"iso-ir-144
ISO_8859-5
ISO-8859-5
cyrillic
csISOLatinCyrillic",
ISO-8859-6,ISO_8859-6:1987,9,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"iso-ir-127
ISO_8859-6
ISO-8859-6
ECMA-114
ASMO-708
arabic
csISOLatinArabic",
ISO-8859-7,ISO_8859-7:1987,10,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1947][RFC1345][Keld_Simonsen],"iso-ir-126
ISO_8859-7
ISO-8859-7
ELOT_928
ECMA-118
greek
greek8
csISOLatinGreek",
ISO-8859-8,ISO_8859-8:1988,11,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"iso-ir-138
ISO_8859-8
ISO-8859-8
hebrew
csISOLatinHebrew",
ISO-8859-9,ISO_8859-9:1989,12,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"iso-ir-148
ISO_8859-9
ISO-8859-9
latin5
l5
csISOLatin5",
